long,lat,rural_urban,country,haz_new_mean,waz_new_mean,bmi_adult_mean
-1.613891,6.729737,urban,Ghana,-135.66666666666666,-140.66666666666666,2633.3333333333335
-1.613815,6.743006,urban,Ghana,4.666666666666667,-60.833333333333336,2633.1666666666665
-1.610035,6.736091,urban,Ghana,-42.63636363636363,-11.818181818181818,2565.5714285714284
-1.600494,6.687503,urban,Ghana,-8.5,162.5,3826.0
-1.596987,6.632885,urban,Ghana,-105.5,-119.16666666666667,2572.0
-1.59365,6.693038,urban,Ghana,-106.0,-37.75,2617.0
-1.586704,6.725353,urban,Ghana,-97.33333333333333,-22.666666666666668,2517.0
-1.585132,6.653406,urban,Ghana,-60.0,-40.75,2358.0
-1.583515,6.734884,urban,Ghana,-10.625,-29.75,2902.6666666666665
-1.58225,6.713354,urban,Ghana,-31.75,-34.5,2658.125
-1.56886,6.752605,urban,Ghana,-57.42857142857143,-66.42857142857143,2923.875
-1.552651,5.602788,rural,Ghana,-116.66666666666667,-89.16666666666667,2493.4166666666665
-1.545766,6.674774,urban,Ghana,,,
-1.53921,6.695189,urban,Ghana,-89.75,-51.5,2334.2
-1.514941,7.043135,urban,Ghana,-32.142857142857146,-16.714285714285715,2706.875
-1.511561,6.292803,rural,Ghana,-37.0,3.6,2738.5714285714284
-1.505776,6.99261,rural,Ghana,-46.285714285714285,-59.142857142857146,2217.375
-1.505764,5.098472,urban,Ghana,4.75,25.25,2674.25
-1.477289,5.272675,rural,Ghana,-138.71428571428572,-110.71428571428571,2331.25
-1.459368,6.644632,rural,Ghana,-107.16666666666667,-77.83333333333333,2592.714285714286
-1.45488,6.78661,urban,Ghana,-93.5,-65.9,2528.5454545454545
-1.449998,5.125878,rural,Ghana,-164.63636363636363,-110.0,2517.230769230769
-1.388365,10.525542,rural,Ghana,-70.16666666666667,-90.83333333333333,2373.6666666666665
-1.384966,6.91415,rural,Ghana,-86.0,-44.625,2382.0
-1.362952,5.102428,rural,Ghana,-87.0,-60.0,2739.0
-1.358914,5.923917,rural,Ghana,-140.4,-81.0,2420.0
-1.350747,6.501284,rural,Ghana,-86.0,-129.0,2878.3333333333335
-1.335845,5.26472,urban,Ghana,-123.5,-84.0,2336.9
-1.305518,5.155128,rural,Ghana,-125.0,-152.5,2680.5
-1.300619,5.646403,rural,Ghana,-67.71428571428571,-86.57142857142857,2251.125
-1.279127,5.692909,urban,Ghana,-54.0,-79.27272727272727,2463.1666666666665
-1.274291,7.474597,rural,Ghana,-23.571428571428573,-53.285714285714285,2314.5
-1.268952,6.146214,rural,Ghana,-207.6,-145.6,2124.0
-1.266157,5.112673,urban,Ghana,-98.66666666666667,-82.66666666666667,2878.6666666666665
-1.261326,5.842288,rural,Ghana,-58.76923076923077,-32.15384615384615,2216.0
-1.252088,6.886844,urban,Ghana,-108.5,7.0,2944.5
-1.225796,5.115427,urban,Ghana,-67.66666666666667,-45.333333333333336,2358.0
-1.214181,6.620168,urban,Ghana,-36.857142857142854,-51.285714285714285,3066.8571428571427
-1.210161,10.86813,rural,Ghana,-73.3,-56.8,2111.0
-1.209805,5.129718,urban,Ghana,-123.5,-124.5,2922.0
-1.207492,10.702239,rural,Ghana,-81.45454545454545,-69.0,2202.9166666666665
-1.202616,7.551716,urban,Ghana,-144.44444444444446,-134.77777777777777,2367.222222222222
-1.154177,5.493283,rural,Ghana,-167.8,-136.8,2530.6666666666665
-1.150877,9.139257,urban,Ghana,-122.66666666666667,-72.16666666666667,2186.25
-1.149427,6.017932,urban,Ghana,-101.2,-43.9,2228.0
-1.148764,9.021906,rural,Ghana,-126.66666666666667,-96.88888888888889,2266.777777777778
-1.133755,5.168849,urban,Ghana,-146.2,-60.8,2114.8
-1.101453,9.419258,rural,Ghana,-120.78947368421052,-124.89473684210526,2143.2380952380954
-1.100463,6.584725,rural,Ghana,-188.44444444444446,-121.22222222222223,2158.8
-1.099969,10.970377,urban,Ghana,-83.57142857142857,-86.85714285714286,2248.5714285714284
-1.091933,10.891648,urban,Ghana,-138.0,39.0,3126.0
-1.089189,10.900289,urban,Ghana,-46.714285714285715,-72.71428571428571,2534.5
-1.080814,5.448083,rural,Ghana,-186.2,-168.4,2337.3333333333335
-1.078593,5.700158,rural,Ghana,-198.3,-67.9,2167.1
-1.068575,5.274052,rural,Ghana,-99.33333333333333,-3.8333333333333335,2878.714285714286
-1.062457,6.208105,rural,Ghana,-109.83333333333333,-89.66666666666667,2499.8333333333335
-1.060055,10.779532,rural,Ghana,-172.5,-109.16666666666667,2092.285714285714
-1.05352,10.919104,rural,Ghana,-56.0,-92.375,2308.625
-1.045247,5.907477,urban,Ghana,-75.5,-77.16666666666667,2486.0
-1.03187,5.337116,rural,Ghana,-79.0,-21.0,2533.875
