valid_time,cluster_id,number,latitude,longitude,tmin,tmax,hi,wbgt
2020-07-16,127,0,5.900000000000018,-1.6999999999999984,22.246613,27.01065,25.11138916015625,19.848761731570207
2020-07-17,127,0,5.900000000000018,-1.6999999999999984,21.677765,27.019806,25.25561014811198,19.96146713613416
2020-07-18,127,0,5.900000000000018,-1.6999999999999984,22.66275,28.339874,26.050419277615017,20.574370509614972
2020-07-19,127,0,5.900000000000018,-1.6999999999999984,22.17508,27.401642,25.376476711697048,20.05556863695788
2020-07-20,127,0,5.900000000000018,-1.6999999999999984,22.70816,28.347076,26.058137681749134,20.580254188393013
2020-07-21,127,0,5.900000000000018,-1.6999999999999984,22.547882,28.724762,26.333262125651043,20.789122156682424
2020-07-22,127,0,5.900000000000018,-1.6999999999999984,22.173126,27.664948,25.55999755859375,20.197834694748366
2020-07-23,127,0,5.900000000000018,-1.6999999999999984,22.620148,28.800812,26.388155619303387,20.830596434201375
2020-07-24,127,0,5.900000000000018,-1.6999999999999984,22.792511,29.02774,26.551517910427517,20.953630547583643
2020-07-25,127,0,5.900000000000018,-1.6999999999999984,22.286163,28.726227,26.329947577582466,20.786615754823337
2020-07-26,127,0,5.900000000000018,-1.6999999999999984,22.116486,27.237701,25.310054355197483,20.00389488822053
2020-07-27,127,0,5.900000000000018,-1.6999999999999984,22.168488,26.354279,25.063366360134548,19.811131310716604
2020-07-28,127,0,5.900000000000018,-1.6999999999999984,21.79483,28.766388,26.359235975477432,20.80875473629068
2020-07-29,127,0,5.900000000000018,-1.6999999999999984,22.20047,28.382599,26.07831743028429,20.595630850256214
2020-07-30,127,0,5.900000000000018,-1.6999999999999984,22.207062,28.331207,26.0413572523329,20.567460923856856
2020-07-31,127,0,5.900000000000018,-1.6999999999999984,22.31839,26.775787,25.299453735351562,19.995639065496952
2020-07-01,128,0,6.200000000000017,-1.6999999999999984,22.509552,26.794586,25.348972744411892,20.03418351993904
2020-07-02,128,0,6.200000000000017,-1.6999999999999984,22.891876,27.651764,25.552168952094185,20.191781080931975
2020-07-03,128,0,6.200000000000017,-1.6999999999999984,23.180573,28.408356,26.100472344292537,20.612502226072493
2020-07-04,128,0,6.200000000000017,-1.6999999999999984,23.010529,26.29068,24.996270073784725,19.75846991510093
2020-07-05,128,0,6.200000000000017,-1.6999999999999984,22.820953,27.193756,25.38537767198351,20.062485817190577
2020-07-06,128,0,6.200000000000017,-1.6999999999999984,22.19571,28.739899,26.342396206325954,20.79602793222962
2020-07-07,128,0,6.200000000000017,-1.6999999999999984,22.956085,28.270905,26.000599331325954,20.53636157831847
2020-07-08,128,0,6.200000000000017,-1.6999999999999984,22.67691,27.52481,25.460166931152344,20.120537650051332
2020-07-09,128,0,6.200000000000017,-1.6999999999999984,22.34903,24.522614,23.052825927734375,18.190088803419286
2020-07-10,128,0,6.200000000000017,-1.6999999999999984,22.008453,24.96109,23.533935546875,18.586099866473674
2020-07-11,128,0,6.200000000000017,-1.6999999999999984,21.832184,23.76065,22.216148376464844,17.489256746922415
2020-07-12,128,0,6.200000000000017,-1.6999999999999984,21.988922,27.437408,25.39798312717014,20.072278875540945
2020-07-13,128,0,6.200000000000017,-1.6999999999999984,21.885406,27.878937,25.7144037882487,20.316956197281442
2020-07-14,128,0,6.200000000000017,-1.6999999999999984,22.428986,28.269928,25.997695922851562,20.534144806264663
2020-07-15,128,0,6.200000000000017,-1.6999999999999984,22.157867,27.775787,25.636236402723526,20.256717177957555
2020-07-16,128,0,6.200000000000017,-1.6999999999999984,21.888458,26.733307,25.200848049587673,19.918725775143827
2020-07-17,128,0,6.200000000000017,-1.6999999999999984,21.50003,26.75357,25.39485083685981,20.069845755838116
2020-07-18,128,0,6.200000000000017,-1.6999999999999984,22.449615,28.269318,25.997937520345054,20.534329274673098
2020-07-19,128,0,6.200000000000017,-1.6999999999999984,21.972443,27.649689,25.549159579806858,20.18945366922494
2020-07-20,128,0,6.200000000000017,-1.6999999999999984,22.418488,28.363922,26.070166693793404,20.589421192922998
2020-07-21,128,0,6.200000000000017,-1.6999999999999984,22.361725,28.525543,26.187341478135853,20.678550343785986
2020-07-22,128,0,6.200000000000017,-1.6999999999999984,22.122955,28.202179,25.948944091796875,20.496894711287126
2020-07-23,128,0,6.200000000000017,-1.6999999999999984,22.351349,28.63089,26.26339806450738,20.73624098747372
2020-07-24,128,0,6.200000000000017,-1.6999999999999984,22.61673,28.85196,26.422127617730037,20.856230410555696
2020-07-25,128,0,6.200000000000017,-1.6999999999999984,22.024933,28.819977,26.39809078640408,20.838095763693268
2020-07-26,128,0,6.200000000000017,-1.6999999999999984,21.706085,27.015533,25.115178426106773,19.851728818250024
2020-07-27,128,0,6.200000000000017,-1.6999999999999984,21.88919,26.595856,25.328623453776043,20.01835064039807
2020-07-28,128,0,6.200000000000017,-1.6999999999999984,21.583893,28.694122,26.305838690863716,20.76837776346015
2020-07-29,128,0,6.200000000000017,-1.6999999999999984,22.147736,28.234894,25.969996982150608,20.51298713951342
2020-07-30,128,0,6.200000000000017,-1.6999999999999984,22.21878,28.240875,25.974892510308162,20.516727788577555
2020-07-31,128,0,6.200000000000017,-1.6999999999999984,22.25589,26.9711,25.38224538167318,20.06005182757749
2020-07-01,129,0,5.000000000000021,-1.6999999999999984,24.236115,27.015533,25.249913533528648,19.957024055032385
2020-07-02,129,0,5.000000000000021,-1.6999999999999984,24.426056,26.330475,25.039605034722225,19.792493267631535
2020-07-03,129,0,5.000000000000021,-1.6999999999999984,24.4169,26.31485,25.022638108995228,19.779177041854417
2020-07-04,129,0,5.000000000000021,-1.6999999999999984,23.910553,24.705109,23.254199557834202,18.356464060540446
2020-07-05,129,0,5.000000000000021,-1.6999999999999984,24.115875,26.939728,25.320654975043404,20.012148235139065
